price_num,accommodates,bathrooms,bedrooms,beds,minimum_nights,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,availability_365,host_listings_count,amenity_count,price_per_person
102.965,1.0,1.0,1.0,1.0,31.0,63,0.32,4.87,4.84,4.87,4.7,31,1.0,13,102.965
222.87,4.0,1.0,2.0,2.0,180.0,5,0.04,5.0,4.8,4.8,4.8,179,3.0,49,55.7175
57.01,1.0,1.0,1.0,2.0,30.0,35,0.17,4.69,4.34,4.76,4.64,168,2.0,33,57.01
194.0,1.0,1.0,1.0,1.0,2.0,696,4.46,4.82,4.8,4.76,4.73,222,2.0,39,194.0
214.54,1.0,1.0,1.0,1.0,1.0,322,1.91,4.75,4.53,4.9,4.64,61,3.0,43,214.54
80.1,6.0,1.0,2.0,4.0,30.0,131,0.74,4.5,4.33,4.55,4.49,123,1.0,21,13.35
90.73,2.0,1.0,1.0,2.0,30.0,22,0.16,4.14,4.05,4.36,4.36,286,1.0,12,45.365
134.06,1.0,1.0,1.0,1.0,30.0,1,0.01,5.0,5.0,5.0,5.0,279,1.0,10,134.06
61.07,4.0,1.0,2.0,2.0,180.0,2,0.01,5.0,4.0,5.0,4.0,365,1.0,53,15.2675
665.55,2.0,1.0,3.0,3.0,30.0,185,1.05,4.87,4.76,4.98,4.69,348,2.0,27,332.775
2593.0,16.0,5.0,8.0,20.0,1.0,280,1.61,4.88,4.78,4.76,4.86,186,2.0,62,162.0625
222.87,4.0,1.0,2.0,2.0,30.0,1,0.01,5.0,5.0,5.0,4.0,0,1.0,36,55.7175
211.57,8.0,2.0,4.0,6.0,30.0,292,1.46,4.85,4.77,4.42,4.77,208,1.0,28,26.44625
239.7,1.0,1.0,1.0,1.0,30.0,53,0.27,4.8,4.9,4.57,4.56,177,1.0,25,239.7
107.85,2.0,1.0,1.0,3.0,30.0,145,1.12,4.93,4.84,4.83,4.88,334,2.0,61,53.925
222.87,3.0,1.0,1.0,2.0,30.0,10,0.08,4.7,4.8,5.0,4.78,0,1.0,10,74.29
222.87,1.0,1.0,1.0,2.0,30.0,75,0.43,4.93,4.81,4.96,4.83,0,1.0,27,222.87
326.33,4.0,1.0,2.0,2.0,30.0,136,0.77,4.98,4.99,4.97,4.83,218,1.0,49,81.5825
111.58,1.0,0.5,1.0,1.0,30.0,61,0.37,4.73,4.56,4.84,4.69,96,1.0,31,111.58
222.87,3.0,1.0,1.0,2.0,30.0,157,0.89,4.82,4.9,4.95,4.64,0,2.0,20,74.29
222.87,2.0,1.0,1.0,2.0,30.0,5,0.03,5.0,4.8,5.0,5.0,0,1.0,14,111.435
112.43,2.0,1.0,1.0,2.0,90.0,118,0.68,4.87,4.91,5.0,4.8,199,1.0,46,56.215
533.5,2.0,2.0,2.0,2.0,4.0,105,0.58,4.99,4.94,4.89,4.91,253,1.0,26,266.75
222.87,2.0,1.0,1.0,2.0,30.0,19,0.1,4.95,4.79,4.95,4.84,0,1.0,17,111.435
342.5,3.0,1.0,2.0,2.0,2.0,579,3.22,4.86,4.77,4.89,4.85,271,1.0,42,114.16666666666667
320.0,3.0,1.0,1.0,2.0,2.0,407,2.27,4.83,4.87,4.77,4.78,319,2.0,41,106.66666666666667
222.87,2.0,1.0,3.0,2.0,30.0,94,0.52,4.9,4.81,4.88,4.77,0,1.0,14,111.435
80.97,4.0,1.0,1.0,1.0,30.0,90,0.5,4.49,4.38,3.72,4.26,319,1.0,28,20.2425
165.56,2.0,1.0,1.0,1.0,30.0,27,0.15,4.54,4.79,3.84,4.5,365,4.0,8,82.78
781.48,6.0,2.5,3.0,3.0,31.0,57,0.43,4.98,4.96,4.91,4.96,327,2.0,35,130.24666666666667
554.2,2.0,1.0,2.0,1.0,30.0,146,0.81,4.41,4.26,4.72,4.47,365,1.0,8,277.1
207.23,3.0,1.5,1.0,1.0,30.0,251,1.35,4.95,4.96,5.0,4.94,300,1.0,46,69.07666666666667
94.94,3.0,1.0,1.0,2.0,90.0,68,0.35,4.63,4.3,4.79,4.64,113,4.0,26,31.646666666666665
100.57,2.0,1.0,1.0,2.0,30.0,58,0.29,4.48,3.53,4.98,4.41,228,1.0,12,50.285
85.64,2.0,1.0,1.0,1.0,30.0,79,0.4,4.69,4.57,4.76,4.76,332,1.0,11,42.82
752.04,4.0,1.0,1.0,2.0,1.0,49,0.29,4.83,4.87,4.65,4.7,213,29.0,36,188.01
752.04,4.0,1.0,1.0,2.0,1.0,93,0.56,4.83,4.84,4.5,4.75,204,29.0,36,188.01
752.04,4.0,1.0,1.0,2.0,1.0,196,1.14,4.78,4.89,4.72,4.65,210,29.0,37,188.01
536.0,4.0,1.0,1.0,2.0,1.0,162,0.96,4.85,4.85,4.7,4.74,170,29.0,30,134.0
536.0,4.0,1.0,1.0,2.0,1.0,46,0.27,4.89,4.89,4.7,4.67,177,29.0,34,134.0
102.965,1.0,1.0,1.0,1.0,30.0,1,0.01,4.0,3.0,4.0,3.0,0,2.0,7,102.965
254.42,2.0,1.0,1.0,1.0,30.0,66,0.41,4.91,4.72,4.97,4.81,133,2.0,30,127.21
102.965,1.0,1.0,1.0,1.0,30.0,62,0.4,4.79,4.9,4.87,4.8,0,2.0,19,102.965
95.9,2.0,1.0,1.0,1.0,30.0,36,0.18,4.97,4.8,5.0,4.91,282,2.0,26,47.95
222.87,2.0,1.0,1.0,2.0,30.0,31,0.18,4.29,4.42,4.23,4.29,2,2.0,16,111.435
177.47,6.0,1.0,2.0,5.0,31.0,192,1.06,4.64,4.55,4.51,4.61,286,1.0,39,29.578333333333333
102.965,2.0,1.0,1.0,1.0,30.0,61,0.39,4.54,4.47,4.52,4.52,0,1.0,15,51.4825
222.87,6.0,1.0,3.0,2.0,30.0,6,0.03,4.83,4.83,4.67,4.33,0,1.0,12,37.145
144.36,2.0,1.0,1.0,1.0,30.0,124,0.69,4.62,4.41,4.7,4.55,152,3.0,35,72.18
97.26,1.0,1.0,1.0,1.0,30.0,0,0.0,4.84,4.81,4.8,4.78,365,2.0,17,97.26
222.87,2.0,1.0,1.0,2.0,30.0,15,0.08,5.0,4.93,4.43,4.86,0,1.0,8,111.435
212.0,2.0,1.5,1.0,1.0,1.0,361,2.45,4.94,4.94,4.96,4.91,272,2.0,47,106.0
208.24,2.0,1.0,1.0,2.0,30.0,33,0.18,4.9,4.79,4.85,4.67,42,2.0,40,104.12
171.65,2.0,1.0,1.0,1.0,30.0,317,1.62,4.71,4.89,4.67,4.7,365,4.0,26,85.825
210.6,2.0,1.0,1.0,2.0,30.0,214,1.09,4.75,4.87,4.4,4.73,358,1.0,57,105.3
