price_num,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,availability_365,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,host_listings_count,amenity_count,price_per_person,target_superhost
214.54,1.0,1.0,,1.0,1.0,31.0,61,322,1.91,4.75,4.53,4.9,4.64,3.0,43,214.54,1.0
80.1,6.0,1.0,2.0,4.0,30.0,1365.0,123,131,0.74,4.5,4.33,4.55,4.49,1.0,21,13.35,0.0
90.73,2.0,1.0,1.0,2.0,30.0,728.0,286,22,0.16,4.14,4.05,4.36,4.36,1.0,12,45.365,0.0
134.06,1.0,1.0,,1.0,30.0,300.0,279,1,0.01,5.0,5.0,5.0,5.0,1.0,10,134.06,0.0
61.07,4.0,,2.0,,180.0,360.0,365,2,0.01,5.0,4.0,5.0,4.0,1.0,53,15.2675,0.0
665.55,2.0,,3.0,3.0,30.0,90.0,348,185,1.05,4.87,4.76,4.98,4.69,2.0,27,332.775,0.0
2593.0,16.0,5.0,8.0,20.0,1.0,1125.0,186,280,1.61,4.88,4.78,4.76,4.86,2.0,62,162.0625,1.0
,4.0,,2.0,,30.0,75.0,0,1,0.01,5.0,5.0,5.0,4.0,1.0,36,,0.0
211.57,8.0,2.0,4.0,6.0,30.0,365.0,208,292,1.46,4.85,4.77,4.42,4.77,1.0,28,26.44625,0.0
239.7,1.0,1.0,1.0,1.0,30.0,90.0,177,53,0.27,4.8,4.9,4.57,4.56,1.0,25,239.7,0.0
107.85,2.0,,,3.0,30.0,1125.0,334,145,1.12,4.93,4.84,4.83,4.88,2.0,61,53.925,0.0
,3.0,,1.0,,30.0,1125.0,0,10,0.08,4.7,4.8,5.0,4.78,1.0,10,,0.0
,1.0,,1.0,,30.0,300.0,0,75,0.43,4.93,4.81,4.96,4.83,1.0,27,,0.0
326.33,4.0,1.0,2.0,2.0,30.0,365.0,218,136,0.77,4.98,4.99,4.97,4.83,1.0,49,81.5825,1.0
111.58,1.0,0.5,,1.0,30.0,180.0,96,61,0.37,4.73,4.56,4.84,4.69,1.0,31,111.58,0.0
,3.0,,1.0,,30.0,40.0,0,157,0.89,4.82,4.9,4.95,4.64,2.0,20,,0.0
,2.0,,1.0,,30.0,1125.0,0,5,0.03,5.0,4.8,5.0,5.0,1.0,14,,0.0
112.43,2.0,,1.0,,90.0,365.0,199,118,0.68,4.87,4.91,5.0,4.8,1.0,46,56.215,1.0
533.5,2.0,2.0,2.0,2.0,4.0,1125.0,253,105,0.58,4.99,4.94,4.89,4.91,1.0,26,266.75,1.0
,2.0,,1.0,,30.0,365.0,0,19,0.1,4.95,4.79,4.95,4.84,1.0,17,,0.0
342.5,3.0,1.0,2.0,2.0,2.0,29.0,271,579,3.22,4.86,4.77,4.89,4.85,1.0,42,114.16666666666667,1.0
320.0,3.0,1.0,,2.0,2.0,25.0,319,407,2.27,4.83,4.87,4.77,4.78,2.0,41,106.66666666666667,1.0
,2.0,,3.0,,30.0,31.0,0,94,0.52,4.9,4.81,4.88,4.77,1.0,14,,0.0
80.97,4.0,1.0,1.0,1.0,30.0,1125.0,319,90,0.5,4.49,4.38,3.72,4.26,1.0,28,20.2425,0.0
165.56,2.0,1.0,,1.0,30.0,365.0,365,27,0.15,4.54,4.79,3.84,4.5,4.0,8,82.78,0.0
781.48,6.0,2.5,3.0,3.0,31.0,60.0,327,57,0.43,4.98,4.96,4.91,4.96,2.0,35,130.24666666666667,0.0
554.2,2.0,1.0,2.0,1.0,30.0,30.0,365,146,0.81,4.41,4.26,4.72,4.47,1.0,8,277.1,0.0
207.23,3.0,1.5,1.0,1.0,30.0,1125.0,300,251,1.35,4.95,4.96,5.0,4.94,1.0,46,69.07666666666667,0.0
94.94,3.0,,1.0,,90.0,3000.0,113,68,0.35,4.63,4.3,4.79,4.64,4.0,26,31.646666666666665,0.0
100.57,2.0,1.0,1.0,2.0,30.0,90.0,228,58,0.29,4.48,3.53,4.98,4.41,1.0,12,50.285,0.0
85.64,2.0,1.0,1.0,,30.0,365.0,332,79,0.4,4.69,4.57,4.76,4.76,1.0,11,42.82,0.0
752.04,4.0,1.0,1.0,2.0,1.0,1125.0,213,49,0.29,4.83,4.87,4.65,4.7,29.0,36,188.01,0.0
752.04,4.0,1.0,1.0,2.0,1.0,365.0,204,93,0.56,4.83,4.84,4.5,4.75,29.0,36,188.01,0.0
752.04,4.0,1.0,1.0,2.0,1.0,180.0,210,196,1.14,4.78,4.89,4.72,4.65,29.0,37,188.01,0.0
536.0,4.0,1.0,1.0,2.0,1.0,365.0,170,162,0.96,4.85,4.85,4.7,4.74,29.0,30,134.0,0.0
536.0,4.0,1.0,1.0,2.0,1.0,1125.0,177,46,0.27,4.89,4.89,4.7,4.67,29.0,34,134.0,0.0
,1.0,,,,30.0,90.0,0,1,0.01,4.0,3.0,4.0,3.0,2.0,7,,0.0
254.42,2.0,1.0,1.0,1.0,30.0,90.0,133,66,0.41,4.91,4.72,4.97,4.81,2.0,30,127.21,1.0
,1.0,,,,30.0,1125.0,0,62,0.4,4.79,4.9,4.87,4.8,2.0,19,,0.0
95.9,2.0,1.0,,1.0,30.0,1125.0,282,36,0.18,4.97,4.8,5.0,4.91,2.0,26,47.95,0.0
,2.0,,1.0,,30.0,90.0,2,31,0.18,4.29,4.42,4.23,4.29,2.0,16,,0.0
177.47,6.0,1.0,2.0,5.0,31.0,365.0,286,192,1.06,4.64,4.55,4.51,4.61,1.0,39,29.578333333333333,0.0
,2.0,,,,30.0,30.0,0,61,0.39,4.54,4.47,4.52,4.52,1.0,15,,0.0
,6.0,,3.0,,30.0,30.0,0,6,0.03,4.83,4.83,4.67,4.33,1.0,12,,0.0
144.36,2.0,1.0,1.0,1.0,30.0,50.0,152,124,0.69,4.62,4.41,4.7,4.55,3.0,35,72.18,0.0
97.26,1.0,1.0,,1.0,30.0,30.0,365,0,0.0,,,,,2.0,17,97.26,0.0
,2.0,,1.0,,30.0,365.0,0,15,0.08,5.0,4.93,4.43,4.86,1.0,8,,0.0
212.0,2.0,1.5,,1.0,1.0,1125.0,272,361,2.45,4.94,4.94,4.96,4.91,2.0,47,106.0,1.0
